model,persona_id,country,sex,age_group,education,response_idx,raw_response,parsed_value
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,0,5,5
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,1,2,2
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,2,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,3,2,2
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,4,2,2
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,5,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,6,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,7,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,8,5,5
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,9,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,10,2,2
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,11,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,12,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,13,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,14,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,15,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,16,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,17,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,18,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,19,2,2
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,20,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,21,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,22,5,5
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,23,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,24,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,25,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,26,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,27,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,28,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,29,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,30,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,31,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,32,4,4
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,33,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,34,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,35,3,3
bielik_lora,CHN_Female_18-29_Higher,CHN,Female,18-29,Higher,36,3,3
